board_id,circuit_number,program_name,component_number_name,pin_id,component_id,terminal_id,segment_id,address,connector_type,class,angle,start_x,start_y,end_x,end_y,output_path,prediction,probability,model,threshold,error,date,time
E2138161479C100062822,R180601,138161-479C1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953220461\Region02134.png,8,0,0,249,41,196,141,C:\HACARUS\result\VT-S730-2169\20260205\953220461\2134-13107.png,1,0.999999994,11,0.8,0,2026.02.05,13:43
E41411620280B00164571,D090002,141162-0280R,811100-29400730,1,27,1997,1,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953221533\Region00027.png,8,0,180,7,89,38,30,C:\HACARUS\result\VT-S730-2169\20260205\953221533\27-1997.png,0,0.632555614,11,0.8,0,2026.02.05,14:00
E41411620280B00165091,D090001,141162-0280R,811100-29400730,2,28,2000,1,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953222042\Region00028.png,8,0,0,167,30,141,89,C:\HACARUS\result\VT-S730-2169\20260205\953222042\28-2000.png,1,0.907987577,11,0.8,0,2026.02.05,14:09
E41411620280B00164851,D090001,141162-0280R,811100-29400730,2,28,2000,1,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953222355\Region00028.png,8,0,0,167,30,142,89,C:\HACARUS\result\VT-S730-2169\20260205\953222355\28-2000.png,0,0.047385036,11,0.8,0,2026.02.05,14:14
E41411620280B00164731,D090001,141162-0280R,811100-29400730,2,28,2000,1,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953222499\Region00028.png,8,0,0,167,31,140,90,C:\HACARUS\result\VT-S730-2169\20260205\953222499\28-2000.png,1,0.999999999,11,0.8,0,2026.02.05,14:16
E21381615491300023692,R040201,138161-54913P_( AOI 3 ),812100-26010730,2,351,2818,3,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953223020\Region00351.png,8,0,180,6,226,45,130,C:\HACARUS\result\VT-S730-2169\20260205\953223020\351-2818.png,1,0.959841388,11,0.8,0,2026.02.05,14:25
E21381615491300023692,X090001,138161-54913P_( AOI 3 ),818200-12900730,2,3317,10342,8,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953223020\Region03317.png,8,0,360,254,177,240,215,C:\HACARUS\result\VT-S730-2169\20260205\953223020\3317-10342.png,1,0.958037683,11,0.8,0,2026.02.05,14:25
E21381615491300022712,L050101,138161-54913P_( AOI 3 ),818300-26730730,3,3113,9906,8,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953225253\Region03113.png,8,0,0,402,196,357,257,C:\HACARUS\result\VT-S730-2169\20260205\953225253\3113-9906.png,0,0.002224194,11,0.8,0,2026.02.05,15:03
E21381615491300023042,R022301,138161-54913P_( AOI 3 ),812100-26810730,1,3138,9974,8,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953225725\Region03138.png,8,1,180,15,215,71,120,C:\HACARUS\result\VT-S730-2169\20260205\953225725\3138-9974.png,0,0.12540612,14,0.5,0,2026.02.05,15:10
E21381615491300023722,R040201,138161-54913P_( AOI 3 ),812100-26010730,2,3146,9991,8,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953228276\Region03146.png,8,0,180,6,225,44,129,C:\HACARUS\result\VT-S730-2169\20260205\953228276\3146-9991.png,1,0.992615341,11,0.8,0,2026.02.05,15:53
E21381615491300021772,R180601,138161-54913P_( AOI 3 ),812100-29910730,2,3275,10249,8,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953234273\Region03275.png,8,0,0,249,41,199,141,C:\HACARUS\result\VT-S730-2169\20260205\953234273\3275-10249.png,1,0.999999988,11,0.8,0,2026.02.05,17:33
E40220603220000045811,L0401,022060-3220R,024283-00080730,1,1399,12498,4,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953236543\Region01399.png,8,0,90,547,786,308,727,C:\HACARUS\result\VT-S730-2169\20260205\953236543\1399-12498.png,0,0.006249871,11,0.8,0,2026.02.05,18:11
E40220603220000050151,L0401,022060-3220R,024283-00080730,1,1495,12775,5,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953238150\Region01495.png,8,0,90,547,786,308,719,C:\HACARUS\result\VT-S730-2169\20260205\953238150\1495-12775.png,0,0.697195242,11,0.8,0,2026.02.05,18:37
E2138161412E100008122,R180601,138161-412E1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953252022\Region02134.png,8,0,0,249,41,197,141,C:\HACARUS\result\VT-S730-2169\20260205\953252022\2134-13107.png,1,1,11,0.8,0,2026.02.05,22:29
E2138161412E100008182,R180601,138161-412E1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953252274\Region02134.png,8,0,0,249,41,197,141,C:\HACARUS\result\VT-S730-2169\20260205\953252274\2134-13107.png,1,1,11,0.8,0,2026.02.05,22:33
E2138161412E100008192,R180601,138161-412E1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953252475\Region02134.png,8,0,0,249,41,198,141,C:\HACARUS\result\VT-S730-2169\20260205\953252475\2134-13107.png,1,0.999999681,11,0.8,0,2026.02.05,22:36
E2138161412E100008132,R180601,138161-412E1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953252624\Region02134.png,8,0,0,249,40,201,140,C:\HACARUS\result\VT-S730-2169\20260205\953252624\2134-13107.png,1,0.999999714,11,0.8,0,2026.02.05,22:39
E2138161412E100008022,R180601,138161-412E1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953252776\Region02134.png,8,0,0,249,40,199,140,C:\HACARUS\result\VT-S730-2169\20260205\953252776\2134-13107.png,1,0.999999999,11,0.8,0,2026.02.05,22:41
E2138161412E100007942,R180601,138161-412E1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953253225\Region02134.png,8,0,0,249,41,199,141,C:\HACARUS\result\VT-S730-2169\20260205\953253225\2134-13107.png,1,0.999999999,11,0.8,0,2026.02.05,22:49
E2138161412E100008042,R180601,138161-412E1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953253473\Region02134.png,8,0,0,249,40,199,140,C:\HACARUS\result\VT-S730-2169\20260205\953253473\2134-13107.png,1,0.999999959,11,0.8,0,2026.02.05,22:53
E2138161412E100007952,R180601,138161-412E1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953254176\Region02134.png,8,0,0,249,40,193,140,C:\HACARUS\result\VT-S730-2169\20260205\953254176\2134-13107.png,1,0.999999997,11,0.8,0,2026.02.05,23:05
E2138161412E100007652,L050101,138161-412E1P_( AOI 3 ),818300-26730730,4,1964,12749,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953254780\Region01964.png,8,0,0,402,29,358,90,C:\HACARUS\result\VT-S730-2169\20260205\953254780\1964-12749.png,0,0.283730923,11,0.8,0,2026.02.05,23:15
E2138161412E100007702,R180601,138161-412E1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953254929\Region02134.png,8,0,0,249,40,196,140,C:\HACARUS\result\VT-S730-2169\20260205\953254929\2134-13107.png,1,1,11,0.8,0,2026.02.05,23:17
E2138161412E100007712,R180601,138161-412E1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953254978\Region02134.png,8,0,0,249,41,199,141,C:\HACARUS\result\VT-S730-2169\20260205\953254978\2134-13107.png,1,1,11,0.8,0,2026.02.05,23:18
E2138160878C200055672,R180601,138160-878C2P_( AOI 3 ),812100-29910730,2,2141,14305,4,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953310982\Region02141.png,8,0,0,248,41,196,140,C:\HACARUS\result\VT-S730-2169\20260206\953310982\2141-14305.png,1,0.999999798,11,0.8,0,2026.02.06,11:05
